Date,Max Temperature,Average Temperature,Min Temperature
2022-08-01,24.0,18.4,12.6
2022-08-02,24.9,21.2,18.5
2022-08-03,24.6,20.4,17.2
2022-08-04,21.1,17.1,12.7
2022-08-05,19.7,14.8,11.0
2022-08-06,21.3,15.7,10.0
2022-08-07,22.8,17.3,12.6
2022-08-08,25.9,19.6,14.1
2022-08-09,28.4,20.5,11.8
2022-08-10,31.6,23.5,14.4
2022-08-11,32.6,24.6,16.2
2022-08-12,31.7,23.7,16.7
2022-08-13,30.9,22.8,15.3
2022-08-14,31.4,23.2,15.2
2022-08-15,25.8,21.0,17.1
2022-08-16,25.3,18.4,14.4
2022-08-17,22.2,16.2,13.2
2022-08-18,21.9,17.5,13.5
2022-08-19,21.2,17.8,13.7
2022-08-20,23.2,18.3,14.2
2022-08-21,22.1,17.3,13.9
2022-08-22,23.9,18.0,14.2
2022-08-23,25.3,19.8,15.7
2022-08-24,24.2,20.4,17.6
2022-08-25,21.7,17.2,13.7
2022-08-26,23.1,17.2,11.5
2022-08-27,25.0,19.3,14.3
2022-08-28,25.6,18.6,13.6
2022-08-29,19.0,16.6,13.9
2022-08-30,19.7,15.6,11.4
2022-08-31,23.1,16.4,12.1
